"IEA fossil fuel subsidies database","","","","","","","","","","","","","","",""
"© 2024 IEA","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Unit: Real 2023 million USD","","","","","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SouthAfrica","Total","-","6.7","-","-","-","2,335.3","5,530.9","5,256.0","4,647.8","-","-","221.1","5,918.0","351.0"
"SriLanka","Oil","238.6","556.8","235.5","161.7","150.7","51.8","67.7","165.2","185.0","304.8","115.6","483.8","546.2","242.1"
"SriLanka","Electricity","188.0","161.9","276.9","66.0","127.1","73.0","-","4.5","146.5","77.6","120.9","485.6","1,477.7","610.4"
"SriLanka","Gas","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SriLanka","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SriLanka","Total","426.6","718.7","512.4","227.7","277.8","124.8","67.7","169.7","331.5","382.3","236.6","969.4","2,023.8","852.5"
"Taipei","Oil","219.6","953.2","595.0","389.8","198.2","3.0","48.9","13.3","10.9","2.8","66.2","226.4","621.7","502.5"
"Taipei","Electricity","393.5","1,187.5","675.8","152.4","-","-","-","-","341.7","-","-","1,702.4","8,144.0","896.1"
"Taipei","Gas","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Taipei","Coal","151.3","261.2","191.7","38.3","-","-","-","190.9","23.2","-","-","184.8","995.1","182.2"
"Taipei","Total","764.4","2,401.8","1,462.4","580.4","198.2","3.0","48.9","204.2","375.8","2.8","66.2","2,113.5","9,760.9","1,580.9"
"Thailand","Oil","2,043.0","2,504.8","2,947.5","2,222.2","1,687.6","878.7","649.7","972.4","961.2","515.8","524.8","1,079.2","1,534.0","52.6"
"Thailand","Electricity","1,492.7","2,425.5","2,908.9","-","-","-","-","-","-","-","-","-","7,462.8","-"
"Thailand","Gas","911.8","1,016.4","1,410.4","711.7","410.1","-","-","-","-","-","-","-","2,018.1","1,085.4"
"Thailand","Coal","1,209.5","874.5","853.2","218.2","87.8","-","-","-","-","-","17.9","610.8","608.2","303.7"
"Thailand","Total","5,656.9","6,821.1","8,120.0","3,152.2","2,185.5","878.7","649.7","972.4","961.2","515.8","542.7","1,689.9","11,623.1","1,441.6"
"TrinidadandTobago","Oil","-","-","296.8","664.6","637.9","649.0","516.6","562.8","535.4","593.0","373.7","473.4","735.4","349.7"
"TrinidadandTobago","Electricity","-","-","388.8","594.6","517.6","391.8","228.2","219.0","327.7","107.1","39.2","512.4","472.5","454.9"
"TrinidadandTobago","Gas","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"TrinidadandTobago","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"TrinidadandTobago","Total","-","-","685.5","1,259.2","1,155.6","1,040.8","744.9","781.8","863.1","700.0","412.9","985.8","1,208.0","804.6"
"Turkmenistan","Oil","3,831.4","4,836.6","5,175.8","5,072.1","4,821.9","2,123.4","1,429.1","2,076.1","1,675.1","1,192.6","115.6","1,098.6","2,123.1","1,765.8"
"Turkmenistan","Electricity","1,706.5","1,680.9","1,483.8","1,689.7","1,486.0","1,670.4","1,503.0","485.9","587.9","367.4","373.5","1,147.3","3,452.0","987.3"
"Turkmenistan","Gas","6,446.4","5,660.4","5,494.6","4,779.8","3,323.7","3,845.7","2,726.7","2,978.5","3,648.4","2,389.0","1,985.2","5,568.1","13,739.0","3,472.6"
